zipcode,geometry
75018,"POLYGON((2.330147 48.901044, 2.330103 48.900914, 2.329466 48.899023, 2.329014 48.897698, 2.328992 48.897633, 2.328293 48.895552, 2.327461 48.893046, 2.326876 48.891338, 2.326633 48.890593, 2.326284 48.889576, 2.325595 48.887508, 2.326381 48.885798, 2.327424 48.883508, 2.327874 48.883598, 2.328013 48.883669, 2.328122 48.883707, 2.328814 48.884138, 2.329541 48.88459, 2.329638 48.884559, 2.33076 48.884247, 2.330914 48.884204, 2.331988 48.883944, 2.332301 48.88386, 2.332742 48.883749, 2.336109 48.882763, 2.3374 48.882386, 2.337787 48.882327, 2.339557 48.882057, 2.339648 48.882047, 2.339802 48.882023, 2.339923 48.882047, 2.341959 48.882445, 2.34691 48.883414, 2.349465 48.883725, 2.351243 48.883859, 2.35583 48.884184, 2.358881 48.884404, 2.359341 48.884409, 2.3615 48.884406, 2.364014 48.884394, 2.364728 48.884365, 2.365808 48.885544, 2.366704 48.886563, 2.366763 48.886644, 2.367063 48.887331, 2.367108 48.887456, 2.367561 48.888625, 2.368045 48.889608, 2.368128 48.889701, 2.368739 48.891029, 2.368961 48.891549, 2.369541 48.892907, 2.370035 48.894005, 2.370457 48.894527, 2.370639 48.894704, 2.37166 48.895314, 2.371791 48.895393, 2.371344 48.895738, 2.371267 48.895798, 2.371268 48.895846, 2.371176 48.895994, 2.370461 48.896575, 2.37042 48.896659, 2.370352 48.897368, 2.370311 48.898717, 2.370325 48.898917, 2.370298 48.899419, 2.370252 48.900259, 2.370292 48.900433, 2.370333 48.900611, 2.370334 48.900943, 2.370289 48.90102, 2.370237 48.901109, 2.37017 48.901556, 2.370201 48.901651, 2.370228 48.901733, 2.370302 48.901848, 2.365858 48.901762, 2.36562 48.901757, 2.358703 48.901611, 2.356795 48.90158, 2.351987 48.901469, 2.347715 48.9014, 2.344129 48.901328, 2.343756 48.90132, 2.335171 48.901147, 2.334743 48.901139, 2.330147 48.901044))"
75001,"POLYGON((2.325842 48.869549, 2.325668 48.869515, 2.325161 48.86943, 2.325205 48.869314, 2.325319 48.869012, 2.325218 48.868869, 2.324584 48.867949, 2.323462 48.866359, 2.321468 48.863753, 2.321404 48.863665, 2.320936 48.863023, 2.325902 48.861471, 2.32798 48.860821, 2.331212 48.85968, 2.332393 48.859441, 2.332916 48.859336, 2.33639 48.858614, 2.336927 48.858493, 2.337672 48.858311, 2.339161 48.85747, 2.340568 48.856675, 2.341368 48.856129, 2.341758 48.855733, 2.342506 48.855104, 2.342929 48.854833, 2.34411 48.854283, 2.344638 48.854087, 2.344918 48.854357, 2.345769 48.855175, 2.345853 48.855256, 2.345999 48.855473, 2.346477 48.85619, 2.346788 48.85671, 2.347115 48.857241, 2.347322 48.857183, 2.347362 48.857204, 2.347423 48.857245, 2.347574 48.857359, 2.348223 48.858517, 2.350141 48.861943, 2.350164 48.861986, 2.350947 48.863405, 2.350891 48.863418, 2.349035 48.863864, 2.346687 48.864433, 2.344975 48.864825, 2.343083 48.865285, 2.341203 48.865744, 2.338669 48.866336, 2.33738 48.866645, 2.335874 48.866979, 2.33365 48.867509, 2.331054 48.868101, 2.330426 48.86826, 2.330285 48.868318, 2.330108 48.86841, 2.328251 48.869752, 2.328034 48.869893, 2.328001 48.869914, 2.326482 48.869654, 2.325842 48.869549))"
75017,"POLYGON((2.279947 48.878573, 2.280231 48.878484, 2.281138 48.878206, 2.283618 48.877406, 2.285463 48.876818, 2.287203 48.876266, 2.28894 48.875713, 2.294249 48.874035, 2.295032 48.873773, 2.295108 48.873878, 2.297912 48.877744, 2.298155 48.878077, 2.298298 48.878108, 2.300837 48.87866, 2.303148 48.879151, 2.303321 48.879189, 2.307122 48.880007, 2.308456 48.880303, 2.308778 48.880392, 2.308875 48.880434, 2.309287 48.88049, 2.309834 48.88052, 2.31217 48.880805, 2.312535 48.880852, 2.315335 48.881173, 2.316479 48.881341, 2.318769 48.881758, 2.320449 48.882097, 2.320494 48.882106, 2.324273 48.882871, 2.326847 48.883391, 2.327116 48.883445, 2.327165 48.883455, 2.327424 48.883508, 2.326381 48.885798, 2.325595 48.887508, 2.326284 48.889576, 2.326633 48.890593, 2.326876 48.891338, 2.327461 48.893046, 2.328293 48.895552, 2.328992 48.897633, 2.329014 48.897698, 2.329466 48.899023, 2.330103 48.900914, 2.330147 48.901044, 2.329738 48.901036, 2.325836 48.900954, 2.32327 48.900813, 2.322175 48.900794, 2.322073 48.900829, 2.320736 48.900786, 2.320597 48.900781, 2.320434 48.900776, 2.319892 48.900463, 2.319462 48.900204, 2.318528 48.899639, 2.315103 48.89859, 2.312447 48.897777, 2.309539 48.896699, 2.308677 48.896374, 2.308183 48.896196, 2.307816 48.896064, 2.307759 48.896037, 2.307688 48.89601, 2.305715 48.89509, 2.303769 48.894151, 2.301836 48.89324, 2.300593 48.892625, 2.299607 48.892168, 2.298628 48.891717, 2.297325 48.89105, 2.295579 48.89015, 2.295013 48.889875, 2.29442 48.889801, 2.292748 48.889593, 2.291779 48.889473, 2.291634 48.889456, 2.291185 48.889313, 2.291148 48.889301, 2.291039 48.889241, 2.290519 48.888967, 2.288683 48.888058, 2.28711 48.887282, 2.285655 48.886562, 2.284573 48.885727, 2.284453 48.885645, 2.284525 48.885584, 2.281621 48.883419, 2.281107 48.883037, 2.281014 48.882971, 2.280899 48.882795, 2.280669 48.881768, 2.279956 48.878618, 2.279947 48.878573))"
75012,"POLYGON((2.369124 48.853166, 2.369042 48.852993, 2.368972 48.852845, 2.36795 48.85069, 2.366454 48.847374, 2.366444 48.84731, 2.366041 48.847083, 2.36538 48.846709, 2.364456 48.846186, 2.366088 48.844968, 2.371739 48.840732, 2.372452 48.840179, 2.37355 48.839329, 2.37434 48.838562, 2.374863 48.838054, 2.375322 48.837608, 2.378358 48.835023, 2.379939 48.833763, 2.380656 48.833181, 2.380999 48.832906, 2.384305 48.830311, 2.386071 48.828793, 2.387097 48.827912, 2.388513 48.826744, 2.39007 48.825696, 2.39095 48.826087, 2.394186 48.827472, 2.39434 48.827539, 2.395622 48.827716, 2.395712 48.827731, 2.396063 48.82783, 2.396843 48.828054, 2.397057 48.82811, 2.397895 48.828329, 2.398623 48.828499, 2.399324 48.828652, 2.399628 48.828753, 2.400073 48.828886, 2.400946 48.82918, 2.401019 48.829204, 2.401508 48.829362, 2.402237 48.829589, 2.40245 48.829531, 2.402622 48.829483, 2.402871 48.829414, 2.403551 48.829175, 2.403814 48.82906, 2.404928 48.828444, 2.405146 48.828302, 2.405209 48.828254, 2.405269 48.82822, 2.405816 48.827797, 2.406509 48.827222, 2.407631 48.826406, 2.407707 48.82635, 2.407832 48.826273, 2.408285 48.825991, 2.40842 48.825917, 2.408819 48.825698, 2.409175 48.825502, 2.409961 48.82518, 2.41 48.825169, 2.41027 48.825087, 2.410908 48.82494, 2.41101 48.824925, 2.411455 48.824857, 2.411932 48.824786, 2.412237 48.824768, 2.412578 48.824748, 2.413111 48.824718, 2.413785 48.824723, 2.41469 48.824764, 2.415083 48.824782, 2.415976 48.824777, 2.416513 48.824736, 2.417131 48.824649, 2.417869 48.824502, 2.418914 48.824241, 2.419387 48.824156, 2.419963 48.82408, 2.420678 48.824047, 2.421719 48.824056, 2.422636 48.824115, 2.422879 48.824125, 2.423885 48.824173, 2.424236 48.824177, 2.424882 48.824183, 2.425131 48.824186, 2.426233 48.824129, 2.426475 48.824102, 2.426577 48.824097, 2.426674 48.824081, 2.426983 48.824047, 2.427958 48.8239, 2.428625 48.823754, 2.428775 48.823729, 2.42886 48.823702, 2.429227 48.823622, 2.429861 48.823432, 2.430565 48.823171, 2.430624 48.823153, 2.430454 48.822968, 2.430371 48.822877, 2.432134 48.821662, 2.432195 48.82162, 2.432446 48.82178, 2.432487 48.821796, 2.43251 48.821821, 2.432628 48.821897, 2.432859 48.821718, 2.43289 48.821693, 2.432491 48.821427, 2.433283 48.820863, 2.434288 48.820158, 2.43415 48.819256, 2.434144 48.819216, 2.434655 48.819557, 2.434907 48.819666, 2.436028 48.819593, 2.436273 48.819553, 2.436332 48.819543, 2.436713 48.819429, 2.436926 48.819361, 2.437345 48.819187, 2.437438 48.819115, 2.437329 48.818177, 2.437486 48.818184, 2.439854 48.818291, 2.440126 48.818261, 2.440249 48.818239, 2.441855 48.817944, 2.442057 48.817927, 2.442104 48.817919, 2.442151 48.817919, 2.442326 48.817905, 2.444181 48.817875, 2.447685 48.817963, 2.447782 48.817964, 2.448223 48.817949, 2.449423 48.817908, 2.44948 48.817901, 2.449671 48.817893, 2.450808 48.817726, 2.451315 48.817618, 2.451636 48.817538, 2.452526 48.817317, 2.453099 48.817207, 2.453224 48.817179, 2.45327 48.817174, 2.453452 48.817149, 2.454202 48.817113, 2.454571 48.8171, 2.455112 48.817076, 2.455919 48.817082, 2.458006 48.817021, 2.458054 48.81702, 2.458717 48.817034, 2.459119 48.816997, 2.459414 48.816848, 2.459298 48.817048, 2.459116 48.817365, 2.461163 48.818335, 2.461208 48.818357, 2.462693 48.819063, 2.462643 48.819119, 2.462532 48.819245, 2.46262 48.819313, 2.462697 48.819369, 2.462836 48.820031, 2.462867 48.820178, 2.46334 48.821035, 2.463408 48.821157, 2.463725 48.821678, 2.463884 48.822008, 2.464026 48.822303, 2.46502 48.824041, 2.465047 48.824089, 2.465087 48.824188, 2.4653 48.824705, 2.465205 48.824921, 2.465189 48.824957, 2.46532 48.824978, 2.465715 48.82618, 2.465733 48.826232, 2.465761 48.826302, 2.466181 48.827329, 2.465433 48.827566, 2.465238 48.827666, 2.465146 48.827588, 2.465081 48.827544, 2.464661 48.827632, 2.46465 48.827745, 2.464647 48.82778, 2.464608 48.828535, 2.464702 48.829277, 2.465028 48.830424, 2.465273 48.831018, 2.465481 48.831398, 2.465582 48.831456, 2.465575 48.831555, 2.465628 48.831634, 2.465822 48.83187, 2.466273 48.832295, 2.466569 48.832521, 2.466939 48.832749, 2.467329 48.832952, 2.468248 48.833383, 2.468618 48.833587, 2.468756 48.833683, 2.469012 48.833919, 2.469197 48.83412, 2.469409 48.834422, 2.469496 48.834471, 2.469483 48.834547, 2.469725 48.835195, 2.469834 48.835798, 2.469851 48.836399, 2.469803 48.836548, 2.469472 48.837048, 2.468835 48.837648, 2.467913 48.838448, 2.467323 48.839096, 2.466929 48.839596, 2.466164 48.840423, 2.465881 48.840674, 2.465699 48.840836, 2.465258 48.841174, 2.464888 48.841406, 2.46468 48.841536, 2.464476 48.841647, 2.464181 48.841808, 2.463741 48.842022, 2.462848 48.84239, 2.462446 48.842532, 2.461794 48.842731, 2.461008 48.842938, 2.459874 48.843181, 2.458614 48.843428, 2.457844 48.84355, 2.456779 48.843708, 2.455169 48.843919, 2.453503 48.844101, 2.452621 48.844217, 2.449992 48.844617, 2.447853 48.844863, 2.446497 48.844968, 2.446641 48.845802, 2.44492 48.845869, 2.444284 48.845873, 2.441832 48.845916, 2.440764 48.845964, 2.440685 48.845248, 2.440864 48.845252, 2.440837 48.845091, 2.440801 48.844879, 2.440616 48.844892, 2.44052 48.84444, 2.437959 48.844665, 2.437184 48.840893, 2.433583 48.841204, 2.433546 48.841051, 2.433483 48.841053, 2.432915 48.841114, 2.431533 48.841228, 2.427575 48.841571, 2.427287 48.841594, 2.425819 48.841715, 2.425044 48.841795, 2.424995 48.8418, 2.424919 48.841808, 2.424535 48.841886, 2.424347 48.84195, 2.424275 48.841988, 2.424095 48.842085, 2.424001 48.842155, 2.423948 48.842196, 2.423499 48.842654, 2.423284 48.842912, 2.423003 48.843359, 2.422966 48.843418, 2.42283 48.843603, 2.422765 48.843693, 2.422467 48.844023, 2.422436 48.844058, 2.422283 48.844182, 2.422228 48.84423, 2.422113 48.844292, 2.421848 48.844438, 2.420114 48.8436, 2.41986 48.843456, 2.419858 48.84338, 2.419849 48.843102, 2.419829 48.843067, 2.419798 48.843028, 2.419735 48.842939, 2.419466 48.842685, 2.419357 48.842498, 2.41936 48.842455, 2.419382 48.842059, 2.419521 48.841516, 2.419533 48.841449, 2.419559 48.841418, 2.419776 48.841082, 2.420127 48.840752, 2.420222 48.840662, 2.420394 48.84044, 2.420523 48.840225, 2.420699 48.839845, 2.420773 48.839687, 2.4208 48.839626, 2.42093 48.839329, 2.421062 48.838891, 2.421223 48.838282, 2.421254 48.838162, 2.421475 48.837096, 2.421586 48.836756, 2.421683 48.836561, 2.421914 48.836172, 2.422138 48.835798, 2.419796 48.834983, 2.417329 48.834187, 2.416456 48.833961, 2.415969 48.833864, 2.415515 48.8338, 2.41547 48.833794, 2.415422 48.83379, 2.414634 48.833728, 2.413921 48.833712, 2.413568 48.833721, 2.413505 48.833723, 2.4134 48.833729, 2.412586 48.833779, 2.411481 48.833931, 2.412246 48.834539, 2.41285 48.836212, 2.413576 48.838278, 2.413987 48.839572, 2.414046 48.83976, 2.414248 48.840488, 2.414849 48.842379, 2.415015 48.842921, 2.415297 48.84385, 2.415664 48.844996, 2.41572 48.84523, 2.415743 48.845305, 2.415752 48.845363, 2.415971 48.846619, 2.413111 48.846871, 2.411445 48.847036, 2.411084 48.847047, 2.406292 48.847457, 2.403458 48.847708, 2.401752 48.847861, 2.399118 48.848098, 2.397868 48.848205, 2.397516 48.848236, 2.395951 48.848379, 2.391973 48.848969, 2.389491 48.849337, 2.384707 48.850084, 2.384458 48.850127, 2.383631 48.850224, 2.38179 48.850359, 2.381427 48.850408, 2.380323 48.850448, 2.380116 48.85046, 2.379805 48.850498, 2.379381 48.850552, 2.37899 48.850611, 2.378896 48.850624, 2.378827 48.850641, 2.378556 48.850704, 2.377806 48.85089, 2.376143 48.851304, 2.375494 48.851447, 2.373813 48.851874, 2.372318 48.852287, 2.371719 48.852488, 2.371217 48.852726, 2.370477 48.853189, 2.370372 48.853223, 2.370241 48.853276, 2.369466 48.853202, 2.369124 48.853166))"
75003,"POLYGON((2.350947 48.863405, 2.350164 48.861986, 2.351652 48.861643, 2.353504 48.861212, 2.355146 48.860672, 2.355732 48.860479, 2.356742 48.860146, 2.356864 48.860084, 2.357017 48.860005, 2.357287 48.859809, 2.358191 48.859119, 2.358772 48.858677, 2.358932 48.858582, 2.359344 48.85834, 2.360326 48.857882, 2.36077 48.857675, 2.361768 48.857243, 2.363652 48.856662, 2.364311 48.856454, 2.364486 48.856416, 2.364942 48.856306, 2.366146 48.85613, 2.366868 48.856025, 2.368279 48.855785, 2.368406 48.855797, 2.368491 48.855805, 2.368229 48.856943, 2.367834 48.858568, 2.367612 48.859479, 2.367328 48.860672, 2.367252 48.86099, 2.366889 48.862474, 2.366748 48.863076, 2.366686 48.863202, 2.365426 48.865288, 2.364858 48.866248, 2.364307 48.867309, 2.363939 48.867484, 2.363872 48.867516, 2.363291 48.867816, 2.359086 48.868435, 2.358656 48.868501, 2.356496 48.868829, 2.355743 48.868978, 2.355046 48.86914, 2.354253 48.869324, 2.354226 48.869276, 2.351511 48.864427, 2.350947 48.863405))"
75005,"POLYGON((2.344638 48.854087, 2.344541 48.854001, 2.344281 48.853757, 2.344105 48.853375, 2.343821 48.852762, 2.343188 48.851389, 2.342632 48.850348, 2.341312 48.848119, 2.340854 48.847336, 2.340643 48.846972, 2.340202 48.846174, 2.338976 48.843926, 2.3382 48.842504, 2.337756 48.841755, 2.337237 48.840867, 2.337079 48.840783, 2.336895 48.840745, 2.336771 48.840745, 2.336676 48.839851, 2.336651 48.839673, 2.337553 48.839431, 2.339694 48.838864, 2.342086 48.838343, 2.345521 48.837633, 2.347008 48.837316, 2.348975 48.837084, 2.349065 48.837075, 2.350688 48.836892, 2.351871 48.836805, 2.352995 48.837154, 2.353045 48.837167, 2.357054 48.838443, 2.361396 48.839829, 2.361745 48.839941, 2.361966 48.840242, 2.362867 48.841398, 2.364158 48.843185, 2.364902 48.844112, 2.365127 48.844413, 2.365969 48.844899, 2.366088 48.844968, 2.364456 48.846186, 2.364406 48.846223, 2.362492 48.847642, 2.362261 48.847812, 2.361051 48.84855, 2.360998 48.848586, 2.359675 48.849245, 2.359308 48.849427, 2.358663 48.849671, 2.358614 48.849697, 2.357708 48.849988, 2.355769 48.85061, 2.354598 48.850986, 2.353935 48.851156, 2.353295 48.851265, 2.351598 48.851615, 2.351245 48.851688, 2.349933 48.852076, 2.349024 48.852364, 2.347264 48.853154, 2.346674 48.853399, 2.345387 48.853809, 2.344638 48.854087))"
75004,"POLYGON((2.350164 48.861986, 2.350141 48.861943, 2.348223 48.858517, 2.347574 48.857359, 2.347423 48.857245, 2.347362 48.857204, 2.347322 48.857183, 2.347115 48.857241, 2.346788 48.85671, 2.346477 48.85619, 2.345999 48.855473, 2.345853 48.855256, 2.345769 48.855175, 2.344918 48.854357, 2.344638 48.854087, 2.345387 48.853809, 2.346674 48.853399, 2.347264 48.853154, 2.349024 48.852364, 2.349933 48.852076, 2.351245 48.851688, 2.351598 48.851615, 2.353295 48.851265, 2.353935 48.851156, 2.354598 48.850986, 2.355769 48.85061, 2.357708 48.849988, 2.358614 48.849697, 2.358663 48.849671, 2.359308 48.849427, 2.359675 48.849245, 2.360998 48.848586, 2.361051 48.84855, 2.362261 48.847812, 2.362492 48.847642, 2.364406 48.846223, 2.364456 48.846186, 2.36538 48.846709, 2.366041 48.847083, 2.366444 48.84731, 2.366454 48.847374, 2.36795 48.85069, 2.368972 48.852845, 2.369042 48.852993, 2.369124 48.853166, 2.369112 48.85322, 2.368966 48.853852, 2.368542 48.855593, 2.368491 48.855805, 2.368406 48.855797, 2.368279 48.855785, 2.366868 48.856025, 2.366146 48.85613, 2.364942 48.856306, 2.364486 48.856416, 2.364311 48.856454, 2.363652 48.856662, 2.361768 48.857243, 2.36077 48.857675, 2.360326 48.857882, 2.359344 48.85834, 2.358932 48.858582, 2.358772 48.858677, 2.358191 48.859119, 2.357287 48.859809, 2.357017 48.860005, 2.356864 48.860084, 2.356742 48.860146, 2.355732 48.860479, 2.355146 48.860672, 2.353504 48.861212, 2.351652 48.861643, 2.350164 48.861986))"
75116,"POLYGON((2.279947 48.878573, 2.279825 48.878577, 2.27947 48.878531, 2.278974 48.878391, 2.277487 48.87797, 2.270758 48.878839, 2.261541 48.88001, 2.25847 48.880387, 2.256057 48.87556, 2.255965 48.875376, 2.255402 48.874261, 2.255372 48.87406, 2.255271 48.873989, 2.25597 48.873396, 2.25713 48.872495, 2.258016 48.871747, 2.258555 48.871232, 2.258619 48.871241, 2.258967 48.870971, 2.259405 48.870614, 2.259324 48.870582, 2.259766 48.870272, 2.259929 48.870145, 2.260152 48.869961, 2.26041 48.869737, 2.260601 48.869516, 2.260942 48.869183, 2.261571 48.868678, 2.26183 48.868596, 2.261865 48.868648, 2.262012 48.868621, 2.262415 48.868534, 2.262677 48.868429, 2.262852 48.868411, 2.263176 48.868401, 2.263561 48.868425, 2.264152 48.868468, 2.26458 48.868477, 2.264936 48.86844, 2.265379 48.868362, 2.265448 48.868364, 2.265531 48.868403, 2.265711 48.868259, 2.265778 48.868108, 2.265741 48.867899, 2.265662 48.867712, 2.265151 48.867074, 2.264993 48.866758, 2.264977 48.866534, 2.26502 48.866315, 2.265143 48.866057, 2.265428 48.865626, 2.266396 48.864599, 2.26658 48.864453, 2.266978 48.864073, 2.267044 48.864041, 2.267123 48.863993, 2.267366 48.863719, 2.267568 48.863483, 2.267846 48.863288, 2.267924 48.863251, 2.268541 48.863123, 2.268219 48.862764, 2.268177 48.862717, 2.267771 48.862025, 2.26817 48.859856, 2.268211 48.859755, 2.26831 48.859668, 2.270079 48.858542, 2.270385 48.858365, 2.272063 48.858285, 2.272633 48.858272, 2.27282 48.858295, 2.27364 48.858209, 2.274405 48.858174, 2.2747 48.858228, 2.274939 48.858322, 2.275059 48.858237, 2.275195 48.85814, 2.277517 48.857954, 2.277819 48.857922, 2.278913 48.857752, 2.279948 48.857752, 2.280782 48.857883, 2.282149 48.858149, 2.283287 48.858308, 2.284291 48.858448, 2.284565 48.858525, 2.284543 48.85857, 2.284568 48.858647, 2.284636 48.858679, 2.284767 48.858677, 2.285182 48.858833, 2.286884 48.859235, 2.287836 48.859925, 2.290818 48.8606, 2.290989 48.860491, 2.291086 48.860451, 2.291144 48.860413, 2.291212 48.860371, 2.291835 48.859974, 2.2921 48.860177, 2.292196 48.860253, 2.292343 48.860351, 2.293645 48.861216, 2.29369 48.861246, 2.294422 48.861622, 2.294865 48.861876, 2.29525 48.862032, 2.29546 48.862117, 2.296871 48.86262, 2.297363 48.862778, 2.297552 48.86284, 2.297664 48.862872, 2.298019 48.862983, 2.298099 48.863, 2.298589 48.863144, 2.299223 48.863283, 2.300143 48.863386, 2.300248 48.863395, 2.301278 48.863479, 2.301372 48.863487, 2.301553 48.863491, 2.301737 48.863496, 2.301663 48.864195, 2.301636 48.864491, 2.301396 48.864584, 2.300991 48.864741, 2.300298 48.865008, 2.300149 48.865001, 2.299842 48.864987, 2.299838 48.865537, 2.299185 48.867638, 2.298895 48.868525, 2.298867 48.868644, 2.298793 48.868768, 2.297745 48.87053, 2.297497 48.870942, 2.297433 48.871021, 2.29621 48.872494, 2.295543 48.873303, 2.295032 48.873773, 2.294249 48.874035, 2.28894 48.875713, 2.287203 48.876266, 2.285463 48.876818, 2.283618 48.877406, 2.281138 48.878206, 2.280231 48.878484, 2.279947 48.878573))"
75007,"POLYGON((2.289696 48.858183, 2.289795 48.858135, 2.29042 48.857827, 2.291034 48.857489, 2.295382 48.854707, 2.299301 48.852194, 2.300602 48.85135, 2.300912 48.851177, 2.301228 48.851062, 2.303659 48.849505, 2.306042 48.847979, 2.307354 48.847133, 2.308218 48.847434, 2.310325 48.847933, 2.310495 48.847976, 2.311191 48.847538, 2.311236 48.847509, 2.31197 48.847048, 2.313716 48.845943, 2.313856 48.845988, 2.315361 48.846463, 2.316713 48.846864, 2.317186 48.847018, 2.317742 48.847227, 2.31942 48.847859, 2.320552 48.848431, 2.321719 48.849032, 2.3219 48.849126, 2.322331 48.849342, 2.323294 48.849825, 2.323666 48.849999, 2.32417 48.850229, 2.326782 48.851318, 2.326876 48.851383, 2.326814 48.851582, 2.327274 48.851664, 2.328334 48.85182, 2.328658 48.851868, 2.328642 48.852026, 2.328659 48.852056, 2.329336 48.852638, 2.330463 48.854473, 2.330733 48.855056, 2.331198 48.855695, 2.331347 48.8559, 2.332955 48.857899, 2.333005 48.857963, 2.33327 48.858291, 2.332552 48.858507, 2.332452 48.858531, 2.332521 48.858649, 2.332889 48.85929, 2.332916 48.859336, 2.332393 48.859441, 2.331212 48.85968, 2.32798 48.860821, 2.325902 48.861471, 2.320936 48.863023, 2.320182 48.863254, 2.318678 48.863723, 2.318364 48.863723, 2.315447 48.863718, 2.312376 48.863628, 2.310391 48.863608, 2.303651 48.863539, 2.302333 48.863526, 2.301737 48.863496, 2.301553 48.863491, 2.301372 48.863487, 2.301278 48.863479, 2.300248 48.863395, 2.300143 48.863386, 2.299223 48.863283, 2.298589 48.863144, 2.298099 48.863, 2.298019 48.862983, 2.297664 48.862872, 2.297552 48.86284, 2.297363 48.862778, 2.296871 48.86262, 2.29546 48.862117, 2.29525 48.862032, 2.294865 48.861876, 2.294422 48.861622, 2.29369 48.861246, 2.293645 48.861216, 2.292343 48.860351, 2.292196 48.860253, 2.2921 48.860177, 2.291835 48.859974, 2.290749 48.859099, 2.290475 48.85883, 2.290184 48.858588, 2.289696 48.858183))"
75006,"POLYGON((2.316713 48.846864, 2.316776 48.84681, 2.316982 48.846636, 2.318481 48.845861, 2.319151 48.845525, 2.319894 48.845166, 2.32012 48.845097, 2.320724 48.844899, 2.323192 48.84409, 2.324298 48.843729, 2.324641 48.843621, 2.326385 48.843065, 2.329575 48.841994, 2.329832 48.841908, 2.33486 48.840243, 2.336355 48.839768, 2.336591 48.839694, 2.336651 48.839673, 2.336676 48.839851, 2.336771 48.840745, 2.336895 48.840745, 2.337079 48.840783, 2.337237 48.840867, 2.337756 48.841755, 2.3382 48.842504, 2.338976 48.843926, 2.340202 48.846174, 2.340643 48.846972, 2.340854 48.847336, 2.341312 48.848119, 2.342632 48.850348, 2.343188 48.851389, 2.343821 48.852762, 2.344105 48.853375, 2.344281 48.853757, 2.344541 48.854001, 2.344638 48.854087, 2.34411 48.854283, 2.342929 48.854833, 2.342506 48.855104, 2.341758 48.855733, 2.341368 48.856129, 2.340568 48.856675, 2.339161 48.85747, 2.337672 48.858311, 2.336927 48.858493, 2.33639 48.858614, 2.332916 48.859336, 2.332889 48.85929, 2.332521 48.858649, 2.332452 48.858531, 2.332552 48.858507, 2.33327 48.858291, 2.333005 48.857963, 2.332955 48.857899, 2.331347 48.8559, 2.331198 48.855695, 2.330733 48.855056, 2.330463 48.854473, 2.329336 48.852638, 2.328659 48.852056, 2.328642 48.852026, 2.328658 48.851868, 2.328334 48.85182, 2.327274 48.851664, 2.326814 48.851582, 2.326876 48.851383, 2.326782 48.851318, 2.32417 48.850229, 2.323666 48.849999, 2.323294 48.849825, 2.322331 48.849342, 2.3219 48.849126, 2.321719 48.849032, 2.320552 48.848431, 2.31942 48.847859, 2.317742 48.847227, 2.317186 48.847018, 2.316713 48.846864))"
