poi_name;full_street_adress;zipcode;latitude;longitude;footfall_index
ZARA;57, Rue de Passy, Paris, 16th Arrondissement, Ile-de-France, 75016, France;75016;48.85773;2.27924;0.7623212938918276
ZARA;57, Rue de Passy, Paris, 16th Arrondissement, Ile-de-France, 75016, France;75016;48.85773;2.27924;0.746689075712728
ZARA;15, Rue du Pont Neuf, Paris, 1st Arrondissement, Ile-de-France, 75001, France;75001;48.85987;2.34399;0.8748122023486697
ZARA;15, Rue du Pont Neuf, Paris, 1st Arrondissement, Ile-de-France, 75001, France;75001;48.85987;2.34399;0.8816275645496889
ZARA;2, Rue Halévy, Paris, 9th Arrondissement, Ile-de-France, 75009, France;75009;48.87125;2.33243;0.8735318670431296
ZARA;2, Rue Halévy, Paris, 9th Arrondissement, Ile-de-France, 75009, France;75009;48.87125;2.33243;0.8843411429500652
ZARA;54, Boulevard Haussmann, Paris, Quartier de l'Europe, Ile-de-France, 75008, France;75008;48.87327;2.33073;0.8647007123414379
ZARA;54, Boulevard Haussmann, Paris, Quartier de l'Europe, Ile-de-France, 75008, France;75008;48.87327;2.33073;0.8751811302062216
ZARA;;75006;48.84568;2.3256;0.7931485199798561
ZARA;;75006;48.84568;2.3256;0.8099188126813436
ITALIE II;;75013;48.83004;2.35609;0.8531753395745646
ITALIE II;;75013;48.83004;2.35609;0.8428229785087032
ZARA;;75014;48.83267;2.33092;0.8051595066824595
ZARA;;75014;48.83267;2.33092;0.7961593185045391
ZARA;Rue de Sèvres, Paris, 7th Arrondissement, Ile-de-France, 75007, France;75007;48.85029;2.32429;0.78088456620412
ZARA;Rue de Sèvres, Paris, 7th Arrondissement, Ile-de-France, 75007, France;75007;48.85029;2.32429;0.7600412311229993
ZARA;92, Avenue des Champs-Élysées, Paris, 8th Arrondissement of Paris, Ile-de-France, 75008, France;75008;48.87137;2.30281;0.867045603365825
ZARA;92, Avenue des Champs-Élysées, Paris, 8th Arrondissement of Paris, Ile-de-France, 75008, France;75008;48.87137;2.30281;0.8729361893759884
ZARA;;75008;48.87124;2.30477;0.8599606536647285
ZARA;;75008;48.87124;2.30477;0.8537149387865763
